dTAlk_dKW,dTCO2_dKW,dHin_dKW,dpCO2in_dKW,dfCO2in_dKW,dHCO3in_dKW,dCO3in_dKW,dCO2in_dKW,dRFin_dKW,dOmegaCAin_dKW,dOmegaARin_dKW,dxCO2in_dKW,dHout_dKW,dpCO2out_dKW,dfCO2out_dKW,dHCO3out_dKW,dCO3out_dKW,dCO2out_dKW,dRFout_dKW,dOmegaCAout_dKW,dOmegaARout_dKW,dxCO2out_dKW
0,-90094409463998.7,378071127774.312,0,0,-72861583723844,-17232825715227.5,0,-3507859424791.85,-420444641601.381,-275290926444.538,0,1306994815755.83,39813896734131,39664518849293.5,-47966773355464.7,-43776416623493.4,1648780516764.88,-4397004226133.35,-789232317768.976,-511905683063.097,40362024872622.7
0,-91084727172841.9,377534875871.684,0,0,-73481760160038.8,-17602966984381.4,0,-3505451274449.69,-429475308766.267,-281203858810.497,0,1299889422513.01,39489818751699.4,39341656775780,-48157506350181.7,-44562580555174.3,1635359738906.07,-4396364113602.06,-803405839269.334,-521098801540.859,40033485225550.4
0,-113105227893864,0,-20200464572941.4,-20135244066758.1,-99133300933153.5,-13379620120807.2,-592306836757.811,-3678887039973.02,-326434542981.235,-213736741693.427,-20801727351610.8,957510121296.725,24718894397510.6,24626151499529.9,-69482573388861.5,-44646317970456.6,1023663464813.87,-4605483677336.76,-804915516843.543,-522077996783.053,25059205762871.5
0,0,5295418935667.46,277520720087001,276624699012484,27997822537488,-36135131421063.4,8137308884856.72,-2014281912646.32,-881621077748.364,-577251460118.45,285781068683144,5575836450202.28,229941767877167,229079048632345,37477162785032,-46999554162304.6,9522391375001.14,-2776942475706.18,-847341329575.346,-549595895069.134,233107435231797
125892541179427,0,0,0,0,0,0,0,-3154699627036.38,0,0,0,832328739482.603,37468107558751,37327530847619.5,33015562971964.7,-34567199226550.5,1551636257934.68,-3997118159316.24,-623202008490.223,-404216404552.134,37983940615049.5
125892541179427,0,0,0,0,0,0,0,-3181330274654.26,0,0,0,841402862523.909,37288455413467,37148552739948.1,32828322546861.9,-34372519011781.8,1544196469797.58,-4030327020944.06,-619692175359.351,-401939884082.731,37801815152738.9
114611502407361,0,0,0,0,0,0,0,-3362452898089.17,0,0,0,944246704986.12,38346030327725.4,38202159735462.5,28002833342635.9,-29590826301972.3,1587992959380.09,-4231523812746.62,-533484424450.655,-346024488042.626,38873949972453.4
116245461752397,0,0,0,0,0,0,0,-3357071971710.75,0,0,0,936395519783.242,38021422671094.9,37878769975173.2,28543722988451.6,-30118273235664.3,1574550246571.98,-4228014998756.81,-542993612244.856,-352192262930.897,38544873358917.2
125892541179427,0,0,0,0,0,0,0,-3330722866124.81,0,0,0,893680122312.738,36249336530869.7,36113332530793.2,31750460370634.8,-33251624652855.9,1501164284841.94,-4216214061072.57,-599483896090.809,-388832548297.68,36748390453602.9
0,-88159161792332.9,378071127817.993,0,0,-71296500926959.6,-16862660841145,0,-3432513550261.45,-411413398540.151,-269377616999.518,0,1316537241832.83,39511523019692.5,39363279611615.2,-46579133066218.5,-43216287288200.4,1636258560105.69,-4312586097019.67,-779133908450.745,-505355731924.252,40055488301225.2
